date,time,DOY,Ta_1_1_1,RH_1_1_1,LWout_1_1_1,LWin_1_1_1,SWout_1_1_1,SWin_1_1_1,PPFD_1_1_1,Ts_1_1_1,Pa_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[µmol/m^2/s],[K],[Pa]
2020-07-13,07:30,195.3124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,08:00,195.3332,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,08:30,195.3541,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,09:00,195.3749,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,09:30,195.3957,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,10:00,195.4165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,10:30,195.4374,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,11:00,195.4582,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,11:30,195.4790,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,12:00,195.4999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,12:30,195.5207,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,13:00,195.5415,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,13:30,195.5624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,14:00,195.5832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,14:30,195.6040,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,15:00,195.6249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,15:30,195.6457,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,16:00,195.6665,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,16:30,195.6873,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,17:00,195.7082,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,17:30,195.7290,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,18:00,195.7498,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,18:30,195.7707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,19:00,195.7915,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,19:30,195.8123,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,20:00,195.8332,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,20:30,195.8540,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,21:00,195.8748,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,21:30,195.8956,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,22:00,195.9165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,22:30,195.9373,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,23:00,195.9581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,23:30,195.9790,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,00:00,196.0000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,00:30,196.0208,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,01:00,196.0416,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
